player,cluster
BFG9k,0
mamalak,2
Desmond_Wilson,2
savinka59,1
Kozakmamay007,2
VanillaShamanilla,0
Naitero_Nagasaki,1
800,2
nichiren1967,1
sport,2
shamirbj,0
tiggran,1
hostking,1
troepianiz,1
manos68,1
jtkjtkful,2
adamsrj,1
hamiakaz,1
Sagaz,2
vadi,1
Abd0,1
Killi,2
Voltvolf,1
Marzinkus,1
jorespi,1
georgek,1
b777,2
sebastian44,0
ticotico,2
Federico,1
omarojo,2
cheesedout,1
pseudoknight,1
j-jorjik,0
jesuss,2
barriosgb2,1
Boss92,1
metrolog,1
Ben_Dover,1
Jonathan_52,2
sonie,0
Maroz,1
1000,2
schutzstaffel,1
Rodney,0
neto391994,0
maslick,1
nujabes,1
Beibus,1
Carroll,1
tarasss,0
Mariss,0
joecasatro,2
?,2
FifthCategory,1
HeyPepito,1
giao,0
excel,0
rennigeb,2
zanella,1
Batalha,0
t4nk,2
Krieg,1
sanuch111,0
Kyklades,0
djarfur,0
Papachaco,1
airtsart,0
Neuronchess,1
LEGENDARY_ERFAN,0
peter2,0
rasmussenesq,1
dipo_a,2
namesnik,1
Hephesto,0
TwoKings,0
Danut68,0
serge,1
Shlomo,1
BCJ,1
GEZ,0
jlfs,1
jesse,1
MARCO0019,2
Luminosity,1
vivelafete,1
dissident_with_love,0
lamobot,1
2girls1cup,0
mufasa,0
AL3103,2
cougar1,1
driverblag,0
psonio,0
H___N,1
dbnp,2
DangerCat,1
chinekeboy,1
jimmy80,0
oleh77,0
Quixote91,0
jaquen81,1
kingofconcentration,1
zebrao,1
crazy2013,1
treehugger,0
MaxPax,0
kramer,2
snob,1
frenchnovice,1
msun,1
vblack,2
61Doc,1
gabrielvictor,2
Quentono,0
gsmaldone,0
Munius,1
ptdhina,1
Alexey_K,0
IsraelCravchik,0
FashionBoy,0
stech,2
shaktimaan,1
Sokol,1
Haven,0
luuletaja,2
alitadepollo,1
ow055,1
sandee,1
RookieRook,1
Sigognac,0
qazmlpvgyhn,2
khan,0
Melinda,0
zlate,1
shueardm,2
Richard_XII,1
ChristlovesU2,1
pskpress,2
jakethedog,1
writinggambler,0
LewisIII,2
spaces,0
Pozitiv,0
Maklaud695,1
cadmandior,2
saxwellrs,2
yehshua,0
Masterstheven,1
garlic,2
Thiago,1
Link,0
ilovemyself,1
xiaoqiao,1
matru,2
tinieblas,0
Leon_Gambetta,1
919191,0
MJordanLutz,1
PES69Z28,1
fistfullofbastard,2
MK9,2
samijoon,2
Atomicangel,1
_viper_,1
ronis,0
oilmanesh,1
Ghost_Lombardi,1
msusngi,1
veter1611,0
As17,1
robusto,1
4lawsdotcom,2
nazer,0
sakrat,1
COLDEST,0
arun,2
maclanie,1
srsbusnes,2
3xaxa,1
Dipankar,1
M3hran,0
SAYANTAN,1
FF4,2
arina1999,1
ostap,1
famcaliap,0
parsh,1
bjagus,1
ralphhh,0
Tomi,0
Elquesoy,1
ostrak11,1
gilberthoy,1
Aquatica,0
m0dE,2
Delaza62,2
Chenstix,1
daredevil,1
ddj,0
burina,2
bagyula,0
JohnUA,0
MihaSAH,1
aminemaxime,0
youcheckimate,1
mailtoilan,0
Yeshi,1
Cukaruchay,1
patan2003,1
H4RDY,2
tolik_mmm,0
Eldorado,2
BulletPlay,2
jsalemal-55,0
akayhan,0
baracuda,0
ajay_jangir,1
ars72,1
NikZ,0
Lancer,0
kinner,2
Stepan9,0
yurday,1
Hooman,2
UKwildcats,0
thomasbrent,1
ale226571,0
Salamandra,0
fuck_you,0
traker100,1
R4Y5T3R,2
Andrandand,1
Arabika2,0
n_farhang,2
k074,1
flatron1,1
Messsi,1
0987654321,2
Norb,0
inis,1
cipri4,1
Antonio7,0
Svetlana,2
Arbequina,1
cirilek,1
esesoyyo,2
victor001,1
jmen,0
sempes,1
castulo,1
akb,0
Alex911,1
ThePersianGulf,1
Lupo,1
Kermek,2
realsid,2
bert,1
amir8869154,0
Nespro,0
minya1961,0
david5527,2
baddu,2
vfspb,1
ertor,2
nicorreze,0
D31283,1
Yarilo,0
Elliot28,1
lancelotukr,1
Tobillo,0
kserks,1
ls,0
cucurbitacee,1
fatossahiti,1
kartronov,0
BbcNkl_,1
mohammadtala,2
JSpower,1
Ivan64,1
NicolasDelaye,2
NOCKA,1
Rozee,1
rusak,1
vnelly,1
fram01,2
dipnaresh,0
GimnazijaMAT,0
StefanK,1
Fischer_50,1
HXcutionH,0
dek,1
rashit49,1
rsydor,0
kokes,2
k4niX,0
Oksana,1
german11,1
yooh_,1
HaDi-naz,2
History,0
alireza1azizi,0
cisek201,1
Antonio69,1
Serg11228899,0
murcauscas,0
jmcd,1
UnDerKetzer,1
Huskygaze,1
fedalio,1
denden_gra,2
p0dar0k,0
Violinist,0
ABUELOENTANGA,1
ciccio,0
TEODOR,1
alex296,0
TOTO17,0
Chibasal,1
sossos,0
morgan1,2
Na_Kol,2
yousef55,0
vinhasale,2
Supernova,0
norimyxxxo,0
URIAHURIAH,1
s_popov,1
wilifog,1
Murugan1,2
dygar2000,1
Kimon,2
chavosh,2
sps53,1
sokol88,1
lucia11,2
vek47,1
balex,1
frankyz,1
143,0
Zaqws,1
ekumenik,1
OLEG_F_4,0
screens,1
PacoMGM,0
killerchessing,1
Ehuric,0
demirkiran,1
Semmel,1
Ernestoliva2,1
oll78,1
OhmyGod,2
mundistrul,2
garderob,1
blackhorse,2
rusli,1
rx,1
Inv,1
WealthandTaste,2
baobabbos,0
vicodinn,0
pikaron,1
Raton00,0
6789,0
Airtransformer,2
fuck_uuu,0
Matematik07,1
bldobr,0
salim,1
BOGDAN-P,0
Kakurenbo,0
JoseChez,1
Cliff_Burton,0
fikusindigo,1
-1,2
sokol_ml,2
rastikk,2
ice-blue,1
kikeillana,0
kogaya,1
buzuki,1
CHUSOCK,2
rbkamerik,0
AkenoHimejima,0
umathurman,1
qetuo,1
torkin,1
daco,2
Anatolich,2
nafa,2
ido,0
MaxBur,0
savidica,1
zero1234,1
Karen_Armenia,1
GleytonPB,0
Panevis,1
Kikelius,1
Fisher62,1
speakerc,2
Moy_General,2
gorgie,2
Retornaire,0
cyclo,2
mrKu,1
GladiatorX1,0
Modus,0
JJPCaesar,1
argo,1
viduccio,0
manuel87,2
kent777,1
Chrodegang,2
Vitus,2
Saminngs,0
Buick_jr,2
jojolapin,0
ChikiPuki,0
rokh,1
azitaaaa,1
jansom,1
kilgoretrout,1
FAVORIT111,0
Pierro,2
marina1984,1
willain,0
celikikamen,1
mkr,0
silverbrutus,0
zerbereus,0
Cynosure,0
SAIRAM,0
engineabuser,2
popeter55,0
ChessThom,0
vvalex70,0
vytaskas,1
celeron17,1
PetWussy,1
berg1972,0
buka,1
just4fun,0
Joueurfel,0
Lerelliz,1
Corsario,1
Aceves,1
Anakvad,0
lodos,0
amirr99,2
amater,1
Mess-Mend,0
aZTeC1993,1
Enderbean,2
noisivelet,1
novap,0
jockey,2
AndRay,1
onetoomany,0
XRIZOLIT,1
huzar44,0
Share,1
GaneshKanna,0
Hugosch,0
s_dvoryanchikov,0
lawlite,2
TransCanadaHighway,1
Kalikrat,0
McPiter,2
allwayswinner,0
frisby,1
kubko,2
Roibabax,1
Nathan,0
valjevo,1
baron,1
yeni,0
FCST1923,2
mensajero,2
Lain,1
merryrose,2
cyberpunk,0
tiger_style,1
qwerty1979,0
MNM,1
AQUILES,2
Masoud43,1
Jarno,0
umniy_,2
alireza_here,0
tropo8,1
ThreeFoxes,0
Bduff,1
sahinozan,0
alaska,1
asghar1933,1
yurij,1
bouguila,1
FMadam,1
GeorgeWBush,1
Vagulo,1
naiss-red,0
kolja,1
Dawaii,0
abouzar25,2
guzu,1
negrasombra,1
maximuss,1
pdplus11,2
Manouche31,0
asnegao,1
JGCA,1
pasam,2
voko6og,2
vertical8,2
MGT88,1
dougthehead,1
etrussk346,1
Halil,1
Ekki,1
L0B0,1
ChessSystem,1
3_1415maldaumen,2
awfulplayer,1
amirmechanic83,2
omrad,1
Annbuut,2
jetlivodovoz,0
sbrad1,0
Vigorito,0
ayla,0
JohnnyBravo,1
UC-Anbu,1
Jsego_,1
gigantchess,1
uxim,1
dcarballor,2
bimers,2
enxy,1
Pollini,1
flesi01,0
alexbc,2
ilian,0
Potent_Returns,1
dominguezfc,0
masterdak,0
habatur,1
agdani,0
nikita75,1
70569,1
ququ,0
kaldere,2
Toscani,0
Cesc,2
erg57,0
SilverSerphent,0
babak_afshin,1
Chess_Agent,0
Inscrutable,0
kukukuruku,0
fisting_grandmas,1
James_Lehm,2
azoyan,0
Zeroace,2
Hunab_Ku,1
adiprenne,2
pepito,0
TyIer,1
best,1
potentialeight,1
lionvdv,1
EgidijusV,0
LeBrowa,1
pdhaag,1
Berlinger,0
kuki386,1
Tree2011,1
luciosergio,2
acer,1
angeluzumaki1,2
jack0211,1
hombreperro,2
superchess,1
Diego_Arg,1
Goldi,2
DEADLY,1
Loserbernd,0
garciajunior,0
WhiteRabbit,0
aguinaldo,0
Partner,1
Tukeke,1
Ordep,2
lucastotoli,1
F1_ALONSO_FERRARI,1
Clauss34,1
mymyr,2
WinChesster,0
Supersonic,0
Ricardo754,2
eydun,1
migsan10,2
palko09,0
necko,0
Szandor,0
Czaik,0
HVEagles,1
Xenon,0
mrschifer,0
21NameMy,0
angarsk,1
KRAG,1
gawstt,1
BigMcLargeHuge,0
DUMBLEDORE,1
aZaz,1
bsn232,1
joshivan,0
jhipolito,1
brigoodwinan,0
valera111,0
loon101,0
vasi55,0
kay,1
Kurak,0
Iwanowich33,1
newlex,1
erbb,0
we_chess_now,0
